year,question_number,primary_subject,sub_topic,ambiguous_note,question_text_en
69th,42,Current Affairs,National,static general-knowledge (fashion) — no clean subject fit,"Match footwear/fashion accessory with description (Beret, Stilettos, Aviators, Chignon, Brogue)"
69th,46,Environment & Ecology,Conservation & Policy,could be Current Affairs,State that launched SLCVC vulture-conservation committee (Tamil Nadu)
69th,50,Current Affairs,Schemes & Indices,education policy — could be Polity,NEP 2020 — vocational education integrated from which grade (Grade 6)
69th,51,Current Affairs,International,could be Economy/trade,India signed ECTA with which country (Australia)
69th,53,Current Affairs,International,could be Sci & Tech discovery,Tillyardembiids (first plant pollinators) fossils discovered in (China)
69th,56,History,Medieval,Art & Culture / static GK,Which is NOT a UNESCO World Heritage Site (India Gate)
69th,58,Polity,Constitutional provisions,could be Modern History,Sikkim became a full-fledged State in (1975)
69th,60,Bihar-Specific,Recent Developments,Bihar + Environment,Bihar Govt target year to be pollution-free by cutting carbon (2024)
69th,63,Bihar-Specific,History & Culture,could be History/Ancient,Vikramshila University statements — which INCORRECT
69th,74,History,Ancient,Bihar (Magadha) history,Capital of ancient Magadha in early Vedic period (Rajagriha)
69th,80,Bihar-Specific,History & Culture,could be Modern History,When Bihar first separated from Bengal Presidency (1912)
69th,83,Geography,World,explorers — could be History,"Match explorer with birthplace (Columbus, Cartier, Drake, Magellan)"
69th,88,Geography,Physical,Bihar river,Other name of river Gandak (Narayani)
69th,94,Geography,Physical,longitude time calculation — Reasoning element,Local time of Thimphu (90E) when Greenwich is noon
69th,109,Polity,Constitutional provisions,political-party GK,"Match political parties with year of establishment (CPI-M, CPI, BSP, AITC)"
69th,113,Economy,Macroeconomic concepts,demography — could be Current Affairs/health,Infant Mortality Rate statements — which correct
69th,117,Current Affairs,Schemes & Indices,scheme — could be Economy,PLI scheme statements — which INCORRECT
69th,118,Current Affairs,Schemes & Indices,scheme — could be Polity/Panchayati Raj,SVAMITVA scheme statements — which INCORRECT
69th,122,Bihar-Specific,Geography,demography,Current population of Gaya district of Bihar
69th,135,History,Modern,Champaran — Bihar-linked,British response to Champaran Movement (Agrarian Committee)
70th,1,Geography,Economic,minerals — could be Sci & Tech/Chemistry,Which is an iron ore (Bauxite/Cinnabar/Pyrite/Limonite)
70th,6,Current Affairs,International,could be Economy,Venue of 13th WTO Ministerial Feb 2024 (Abu Dhabi)
70th,8,Current Affairs,National,could be Polity,Postal-ballot age after Mar 2024 change (85)
70th,9,Economy,Five-year plans & policy,could be Current Affairs,Budget 2024-25 oilseed NOT under Atmanirbharta (Coconut)
70th,17,Current Affairs,International,could be Sci & Tech,"First country to bring soil from far side of moon, June 2024 (China)"
70th,19,Polity,Constitutional provisions,static GK,Speaker of Lok Sabha before becoming President (Neelam Sanjeeva Reddy)
70th,27,Current Affairs,National,could be Economy,India's position in mobile phone manufacturing 2023 (2nd)
70th,30,Economy,Macroeconomic concepts,could be Current Affairs,IIP FY2023 — which indices grew significantly (capital + infra goods)
70th,37,Environment & Ecology,Conservation & Policy,organisation GK — could be Economy,Full form of PCRA (Petroleum Conservation Research Association)
70th,40,Geography,Physical,odd-one-out — Reasoning element,Which river is different from the others (Narmada)
70th,43,Bihar-Specific,History & Culture,could be Modern History,Newspaper Sahajanand Saraswati published for peasants (Lok Sangraha)
70th,45,Economy,Banking & finance,could be Current Affairs,CRISIL: corporate bond market size by FY2030 (Rs 100-120 lakh cr)
70th,55,History,Modern,could be Economy,Who headed the Royal Commission on Indian currency 1913 (Austin Chamberlain)
70th,59,History,Modern,Patna session — Bihar-linked,President of INC at Patna Session 1912 (R.N. Madhulkar)
70th,62,Geography,Economic,ores — could be Sci & Tech/Chemistry,Corundum and cryolite are ores of (Aluminium)
70th,77,History,Ancient,Magadha — Bihar-linked,Ruler who founded 'Haryak Vansh' in ancient Bihar (Bimbisara)
70th,89,History,Ancient,Magadha — Bihar-linked,Dynasty that ruled Magadh after Shishunag (Nanda)
70th,113,Polity,Constitutional provisions,could be Modern History,Which was NOT a feature of GoI Act 1935
70th,148,Economy,Five-year plans & policy,could be Current Affairs,NOT a Budget priority for 'Viksit Bharat' 2024-25 (Sustainable Development)
70th-reexam,12,History,Modern,Champaran is in Bihar,Who led the Champaran Satyagraha 1917 (Mahatma Gandhi)
70th-reexam,22,Current Affairs,Sports,static GK,Most popular field game in the world (Soccer)
70th-reexam,54,Current Affairs,National,could be Economy,First Indian company to cross USD 200bn market cap 2023 (Reliance)
70th-reexam,65,Geography,World,odd-one-out — Reasoning element,Odd pair among deserts (Kalahari:America)
70th-reexam,67,History,Modern,Rajendra Prasad — Bihar figure,Portfolio Rajendra Prasad held in interim govt 1946 (Food and agriculture)
70th-reexam,68,Geography,Economic,Barauni is in Bihar,Oil refinery with maximum capacity in India (provisional key: Barauni)
70th-reexam,130,History,Modern,Gaya session — Bihar-linked,President of INC at Gaya Session 1922 (Chittaranjan Das)
70th-reexam,134,History,Ancient,could be Geography,Chitrakoot temple is located in which State (Madhya Pradesh)
70th-reexam,141,Environment & Ecology,Conservation & Policy,could be Sci & Tech,Steam methane reforming technique used to obtain (Grey Hydrogen)
71st,11,Bihar-Specific,Recent Developments,Bihar sports — could be Current Affairs/Sports,Bronze medals by Bihar in 38th Nat'l Junior Athletics C'ship 2025 (Deleted)
71st,14,Environment & Ecology,Biodiversity,Nagi is in Bihar,Org that recognized Nagi Bird Sanctuary as IBA (Bird Life International)
71st,16,Science & Technology,Tech & Innovation,could be Current Affairs,Primary objective of Lunar Trailblazer mission (map water on Moon)
71st,17,Current Affairs,International,static GK,Afrikaners indicate which people (white minority in South Africa)
71st,18,Current Affairs,National,could be History/Art & Culture,16th-century stepwell conserved by ASI + World Monuments Fund (Rajon ki Baoli)
71st,21,Science & Technology,Tech & Innovation,could be Current Affairs,What is true of ISRO's GSLV-F15 mission (More than one)
71st,23,Environment & Ecology,Climate & Pollution,could be Current Affairs,COP29 (Baku 2024) climate finance agreement ($300bn by 2035)
71st,31,Science & Technology,Tech & Innovation,defence — could be Current Affairs,Statements about Akashteer (Army Air Defence) (More than one)
71st,32,Science & Technology,Tech & Innovation,could be Current Affairs,Make-in-India indigenous defence platforms (More than one)
71st,36,Economy,Macroeconomic concepts,could be Current Affairs/Indices,Capability Poverty Measure (CPM/UNDP) statements — which correct
71st,42,Economy,Five-year plans & policy,could be Current Affairs,State with highest road length under Bharatmala (31 Oct 2024) (Rajasthan)
71st,45,Current Affairs,Schemes & Indices,could be Economy,NFHS-5 — state with <6% multidimensionally poor 2019-20 (Himachal Pradesh)
71st,48,Science & Technology,Tech & Innovation,could be Economy/policy,NOT an outcome of STI Policy 2020 (Atal Innovation Mission)
71st,95,History,Ancient,Bihar-linked,Which Buddhist council was NOT held in Bihar (Fourth)
71st,97,History,Ancient,Nalanda is in Bihar,Who was NOT an Acharya at Nalanda (Kautilya)
71st,110,Current Affairs,National,GI tag — could be Geography/Economic,Meerut GI-tag item (Scissors)
71st,114,Bihar-Specific,Geography,could be Environment,Parks under Project Tiger in Bihar (Valmiki National Park)
