year,exam_date,paper_variant,booklet_series,question_number,subject,sub_topic,question_type,option_count,statement_count,list_item_count,option_combination_pattern,is_all_or_none_correct,all_none_literal_phrasing,correct_option,key_status,difficulty_guess,ambiguous_subject,ambiguous_note,ca_recency_months,source_type_guess,question_text_en
67th-reexam,2022-09-30,re-exam,B,26,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,A,provisional,easy,FALSE,,,NCERT-level,Plants receive nutrients mainly from (soil)
67th-reexam,2022-09-30,re-exam,B,27,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Pine/Fir/Spruce/Cedar/Larch/Cypress belong to (gymnosperm)
67th-reexam,2022-09-30,re-exam,B,28,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Correctly matched pair (disease-treatment)
67th-reexam,2022-09-30,re-exam,B,29,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Animal without red blood cells (earthworm)
67th-reexam,2022-09-30,re-exam,B,30,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Ultimate substance carbohydrates degraded to (glucose)
67th-reexam,2022-09-30,re-exam,B,31,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Most enzymes are (proteins)
67th-reexam,2022-09-30,re-exam,B,32,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,First scientist/doctor who attempted vaccination (Edward Jenner)
67th-reexam,2022-09-30,re-exam,B,33,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Working principle of a washing machine (centrifugation)
67th-reexam,2022-09-30,re-exam,B,34,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Speed of light minimum while passing through (glass)
67th-reexam,2022-09-30,re-exam,B,35,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Which is NOT a vector quantity (Speed)
67th-reexam,2022-09-30,re-exam,B,36,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,"If earth's spinning speed increases, weight at equator will (decrease)"
67th-reexam,2022-09-30,re-exam,B,37,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,B,provisional,hard,TRUE,could be Science & Tech/Physics,,specialized reference,First person to define speed (Galileo)
67th-reexam,2022-09-30,re-exam,B,38,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Equal volumes of gases contain equal molecules — law (Avogadro's law)
67th-reexam,2022-09-30,re-exam,B,39,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,B,provisional,easy,FALSE,,,NCERT-level,'Theory of relativity' presented by (Albert Einstein)
67th-reexam,2022-09-30,re-exam,B,40,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,B,provisional,hard,FALSE,,,NCERT-level,Potential variation due to temperature variation along conductor (Seebeck effect)
67th-reexam,2022-09-30,re-exam,B,41,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,D,provisional,easy,FALSE,,,NCERT-level,Lens used in magnifying glass (Convex lens)
67th-reexam,2022-09-30,re-exam,B,42,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Paramagnetic theory of magnetism applies to (platinum)
67th-reexam,2022-09-30,re-exam,B,43,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,D,provisional,easy,FALSE,,,NCERT-level,Nucleus of an atom consists of (protons and neutrons)
67th-reexam,2022-09-30,re-exam,B,44,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Metallurgical process where metal obtained in fused state (smelting)
67th-reexam,2022-09-30,re-exam,B,45,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,provisional,easy,FALSE,,,NCERT-level,Constituents of brass (Zinc and copper)
67th-reexam,2022-09-30,re-exam,B,46,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Known as quicklime (CaO)
67th-reexam,2022-09-30,re-exam,B,47,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,What happens to weight of iron when it rusts (Increases for long time)
67th-reexam,2022-09-30,re-exam,B,48,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Known as white metal (Platinum)
67th-reexam,2022-09-30,re-exam,B,49,Science & Technology,Chemistry,statement_based,5,2,,1 only,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Noble metals statements — which correct
67th-reexam,2022-09-30,re-exam,B,50,Science & Technology,Chemistry,statement_based,5,2,,1 only,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Salt/methyl alcohol boiling point statements — which correct
67th-reexam,2022-09-30,re-exam,B,51,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,provisional,easy,FALSE,,,NCERT-level,Main constituent of biogas (Methane)
67th-reexam,2022-09-30,re-exam,B,52,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Cause of bright red colour in crackers (Strontium)
67th-reexam,2022-09-30,re-exam,B,53,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Salt-loving plants called (Halophytes)
67th-reexam,2022-09-30,re-exam,B,54,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Fungi are plants that lack (chlorophyll)
67th-reexam,2022-09-30,re-exam,B,55,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Pollination best defined as (transfer of pollen grain anther to stigma)
67th-reexam,2022-09-30,re-exam,B,56,Bihar-Specific,Polity & Governance,match_the_following,5,,4,,FALSE,FALSE,D,provisional,hard,FALSE,,,current_affairs,"Match Bihar posts with officeholders (Governor, CJ, CM, CEO)"
67th-reexam,2022-09-30,re-exam,B,57,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,current_affairs,'Operation Prahar' in Bihar related to (liquor ban)
67th-reexam,2022-09-30,re-exam,B,58,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,current_affairs,Hrithik Anand from Bihar won which medal at 24th Deaf Badminton Olympics (Gold)
67th-reexam,2022-09-30,re-exam,B,59,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,current_affairs,North India's first bird ringing station opened in Bihar at (Bhagalpur)
67th-reexam,2022-09-30,re-exam,B,60,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Which started the Vulture's Conservation Plan in Bihar (Kanwar Lake Bird Sanctuary)
67th-reexam,2022-09-30,re-exam,B,61,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,current_affairs,'Sunandini Program' related to (Auxiliary Nurse Midwives)
67th-reexam,2022-09-30,re-exam,B,62,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,C,provisional,easy,FALSE,,3,current_affairs,Country whose former PM Shinzo Abe was shot dead July 2022 (Japan)
67th-reexam,2022-09-30,re-exam,B,63,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,current_affairs,UN resolution on multilingualism — language mentioned for first time (Hindi)
67th-reexam,2022-09-30,re-exam,B,64,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,7,current_affairs,Who presided UNGA emergency session on Russia-Ukraine (Abdulla Shahid)
67th-reexam,2022-09-30,re-exam,B,65,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,7,current_affairs,Mission to evacuate Indians from Ukraine Feb 2022 (Operation Ganga)
67th-reexam,2022-09-30,re-exam,B,66,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,current_affairs,'Sakteng Wildlife Sanctuary' China claims territory in (Bhutan)
67th-reexam,2022-09-30,re-exam,B,67,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,D,provisional,easy,FALSE,,,current_affairs,Indian State/UT chosen to host G20 Summit 2023 (Delhi)
67th-reexam,2022-09-30,re-exam,B,68,Current Affairs,International,statement_based,5,3,,1 and 2 only,FALSE,FALSE,C,provisional,medium,FALSE,,,current_affairs,UN peacekeeping operations statements — which correct
67th-reexam,2022-09-30,re-exam,B,69,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,TRUE,could be Economy/trade,,current_affairs,Country signed FTA with UAE recently (Israel)
67th-reexam,2022-09-30,re-exam,B,70,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,current_affairs,Country launched 'Arktika-M' satellite to monitor Arctic climate (Russia)
67th-reexam,2022-09-30,re-exam,B,71,Current Affairs,Sports,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,current_affairs,First player to cross 3000 runs in T20 International (Virat Kohli)
67th-reexam,2022-09-30,re-exam,B,72,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,3,current_affairs,Campaign for complete COVID-19 vaccination June 2022 (Har Ghar Dastak 2.0)
67th-reexam,2022-09-30,re-exam,B,73,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,C,provisional,easy,FALSE,,3,current_affairs,New CM of Maharashtra after 30 June 2022 (Eknath Shinde)
67th-reexam,2022-09-30,re-exam,B,74,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,A,provisional,easy,FALSE,,2,current_affairs,Who started Har Ghar Tiranga Abhiyan on India's 75th Independence Day (Central Government)
67th-reexam,2022-09-30,re-exam,B,75,Current Affairs,Schemes & Indices,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,TRUE,could be Polity,,current_affairs,First State to implement Centre's New Education Policy (Uttarakhand)
67th-reexam,2022-09-30,re-exam,B,76,Current Affairs,National,statement_based,5,4,,"1, 3 and 4 only",FALSE,FALSE,B,provisional,hard,FALSE,,,current_affairs,Governor-State pairs — which correctly matched
67th-reexam,2022-09-30,re-exam,B,77,Current Affairs,Schemes & Indices,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,current_affairs,Org released 'Youth in India Report 2022' (MoSPI)
67th-reexam,2022-09-30,re-exam,B,78,Current Affairs,Sports,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,current_affairs,"Elavenil Valarivan, Shreya Agarwal, Ramita associated with (Shooting)"
67th-reexam,2022-09-30,re-exam,B,79,Current Affairs,Awards & Appointments,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,current_affairs,Recently assigned charge of Ministry of Minority Affairs (Smriti Irani)
67th-reexam,2022-09-30,re-exam,B,80,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,B,provisional,easy,FALSE,,2,current_affairs,UPA candidate in 15th Presidential Election (Yashwant Sinha)
67th-reexam,2022-09-30,re-exam,B,81,Current Affairs,Awards & Appointments,simple_mcq,5,,,,FALSE,FALSE,B,provisional,easy,FALSE,,4,current_affairs,International Booker Prize for 'Tomb of Sand' (Geetanjali Shree)
67th-reexam,2022-09-30,re-exam,B,82,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,current_affairs,Dadasaheb Phalke Indian Television Award 2022 winner from Bihar (Shatrughan Sinha)
67th-reexam,2022-09-30,re-exam,B,83,Bihar-Specific,Economy,simple_mcq,5,,,,FALSE,FALSE,D,provisional,hard,FALSE,,,specialized reference,Bihar urbanization level per Economic Survey 2021-22 (11.6%)
67th-reexam,2022-09-30,re-exam,B,84,Bihar-Specific,Economy,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Brand Ambassador of Khadi in Bihar (Manoj Tiwari)
67th-reexam,2022-09-30,re-exam,B,85,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,current_affairs,District where world's tallest (251m) Mother Sita statue will be built (Sitamarhi)
67th-reexam,2022-09-30,re-exam,B,86,Bihar-Specific,Polity & Governance,simple_mcq,5,,,,FALSE,FALSE,B,provisional,hard,FALSE,,,specialized reference,First Indian Governor of Bihar (Dr. Shri Krishna Singh)
67th-reexam,2022-09-30,re-exam,B,87,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Leaders of the Santhal Revolt (Sidhu and Kanhu)
67th-reexam,2022-09-30,re-exam,B,88,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,D,provisional,hard,FALSE,,,specialized reference,Year of the Chauri Revolt of Bihar (1842)
67th-reexam,2022-09-30,re-exam,B,89,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Year Orissa separated from Bihar (1936)
67th-reexam,2022-09-30,re-exam,B,90,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,TRUE,Rajagriha — Bihar-linked,,NCERT-level,Where was first Buddhist Council convened (Rajagriha)
67th-reexam,2022-09-30,re-exam,B,91,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Which Gupta ruler assumed throne after killing elder brother (Chandragupta II)
67th-reexam,2022-09-30,re-exam,B,92,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Who laid foundation of Vardhana dynasty (Pushyabhuti)
67th-reexam,2022-09-30,re-exam,B,93,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Who established trade relations with Roman empire (Kushanas)
67th-reexam,2022-09-30,re-exam,B,94,History,Medieval,simple_mcq,5,,,,FALSE,FALSE,D,provisional,hard,FALSE,,,specialized reference,Muslim ruler whose empire regarded part of Dar-ul-Islam (Iltutmish)
67th-reexam,2022-09-30,re-exam,B,95,History,Medieval,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Who opposed the power of the Khalifa (Balban)
67th-reexam,2022-09-30,re-exam,B,96,History,Medieval,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Tughril Khan raised standard of revolt during whose reign (Balban)
67th-reexam,2022-09-30,re-exam,B,97,History,Modern,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,First Mughal ruler who fought against the British (Aurangzeb)
67th-reexam,2022-09-30,re-exam,B,98,History,Modern,statement_based,5,4,,"1, 3 and 4 only",FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Social reforms introduced by William Bentinck
67th-reexam,2022-09-30,re-exam,B,99,History,Modern,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Sind was conquered and annexed by (Napier)
67th-reexam,2022-09-30,re-exam,B,100,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Year first Census introduced in India (1872)
67th-reexam,2022-09-30,re-exam,B,101,History,Modern,simple_mcq,5,,,,FALSE,FALSE,C,provisional,easy,FALSE,,,NCERT-level,"Date Sukhdev, Bhagat Singh, Rajguru were hanged (23 March 1931)"
67th-reexam,2022-09-30,re-exam,B,102,History,Modern,simple_mcq,5,,,,FALSE,FALSE,A,provisional,hard,FALSE,,,specialized reference,Third Satyagrahi of Individual Satyagraha 1940 (Jawaharlal Nehru)
67th-reexam,2022-09-30,re-exam,B,103,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Who launched secret radio during Quit India Movement (Usha Mehta)
67th-reexam,2022-09-30,re-exam,B,104,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,D,provisional,hard,FALSE,,,specialized reference,Physician of Magadh ruler Bimbisara (Jeevaka)
67th-reexam,2022-09-30,re-exam,B,105,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,C,provisional,hard,FALSE,,,specialized reference,Real founder of Turk rule in Bihar (Ibn Bakhtiyar Khilji)
67th-reexam,2022-09-30,re-exam,B,106,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,D,provisional,easy,FALSE,,,specialized reference,River known as Sorrow of Bihar (Kosi)
67th-reexam,2022-09-30,re-exam,B,107,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,District where Telhar Kund Waterfall is located (Kaimur)
67th-reexam,2022-09-30,re-exam,B,108,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Asia's largest freshwater oxbow lake in Bihar (Kanwar Lake)
67th-reexam,2022-09-30,re-exam,B,109,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Bihar district with largest gold reserve (Jamui)
67th-reexam,2022-09-30,re-exam,B,110,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Bihar district known as 'silk city' (Bhagalpur)
67th-reexam,2022-09-30,re-exam,B,111,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,A,provisional,hard,FALSE,,,specialized reference,Female literacy rate of Bihar per Census 2011 (51.50%)
67th-reexam,2022-09-30,re-exam,B,112,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,A,provisional,easy,FALSE,,,NCERT-level,Chief heavenly body of solar system (Sun)
67th-reexam,2022-09-30,re-exam,B,113,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Elements abundant in interior layer of earth (Silica and magnesium)
67th-reexam,2022-09-30,re-exam,B,114,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,C,provisional,hard,FALSE,,,specialized reference,Who postulated concept of geographical cycle of erosion (W.M. Davis)
67th-reexam,2022-09-30,re-exam,B,115,Geography,World,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Hemisphere where roaring forties/furious fifties/shrieking sixties blow (Southern)
67th-reexam,2022-09-30,re-exam,B,116,Geography,World,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Sargasso Sea is part of (North Atlantic Ocean)
67th-reexam,2022-09-30,re-exam,B,117,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,B,provisional,easy,FALSE,,,NCERT-level,Boundary line between India and China (McMahon Line)
67th-reexam,2022-09-30,re-exam,B,118,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Rajasthan receives very little rain because (winds don't come across barriers)
67th-reexam,2022-09-30,re-exam,B,119,Environment & Ecology,Conservation & Policy,statement_based,5,3,,1 and 3 only,FALSE,FALSE,A,provisional,medium,FALSE,,,current_affairs,Project Tiger / Biodiversity Day statements — which correct
67th-reexam,2022-09-30,re-exam,B,120,Geography,Economic,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Karewas famous for which cultivation (Saffron)
67th-reexam,2022-09-30,re-exam,B,121,Geography,Economic,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Leading Indian producer of thorium (Kerala)
67th-reexam,2022-09-30,re-exam,B,122,Geography,Economic,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Newsprint paper industry located at (Nepanagar)
67th-reexam,2022-09-30,re-exam,B,123,Geography,Economic,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Where was first coal mine in India mined (Raniganj)
67th-reexam,2022-09-30,re-exam,B,124,Geography,Human,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Largest Scheduled Tribe in India per Census 2011 (Bhil)
67th-reexam,2022-09-30,re-exam,B,125,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Total geographical area of Bihar State (94163 sq km)
67th-reexam,2022-09-30,re-exam,B,126,Polity,Panchayati Raj & local governance,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,State Govt reviews financial position of Panchayats every 5 yrs via (finance commission)
67th-reexam,2022-09-30,re-exam,B,127,Polity,Panchayati Raj & local governance,simple_mcq,5,,,,FALSE,FALSE,E,provisional,medium,FALSE,,,NCERT-level,Objective of community development (Harmonious life)
67th-reexam,2022-09-30,re-exam,B,128,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,3,current_affairs,Electoral College for 16th VP Election 2022 — number of members (788)
67th-reexam,2022-09-30,re-exam,B,129,Polity,Constitutional provisions,simple_mcq,5,,,,FALSE,FALSE,A,provisional,easy,FALSE,,,NCERT-level,Indian President eligible for re-election how many times (Any number)
