year,exam_date,paper_variant,booklet_series,question_number,subject,sub_topic,question_type,option_count,statement_count,list_item_count,option_combination_pattern,is_all_or_none_correct,all_none_literal_phrasing,correct_option,key_status,difficulty_guess,ambiguous_subject,ambiguous_note,ca_recency_months,source_type_guess,question_text_en,needs_sme_recheck,sme_recheck_reason
67th-reexam,2022-09-30,re-exam,B,11,History,Modern,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Session where INC passed Complete Independence Resolution (1929 Lahore),FALSE,
67th-reexam,2022-09-30,re-exam,B,12,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Subhas Chandra Bose renamed Nicobar Island as (Swaraj Island),FALSE,
67th-reexam,2022-09-30,re-exam,B,13,History,Modern,simple_mcq,5,,,,FALSE,FALSE,A,provisional,easy,FALSE,,,NCERT-level,State of 'Chauri Chaura' incident Feb 1922 (Uttar Pradesh),FALSE,
67th-reexam,2022-09-30,re-exam,B,14,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Place Khudiram Bose tried to kill Kingsford (Muzaffarpur),FALSE,
67th-reexam,2022-09-30,re-exam,B,15,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,specialized reference,'Azad Dasta' active in Bihar during which Movement (Quit India),FALSE,
67th-reexam,2022-09-30,re-exam,B,16,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,"Numbers 100-500 divisible by 4,5,6 (6)",FALSE,
67th-reexam,2022-09-30,re-exam,B,17,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Sand:cement ratio mixture problem (28 kg),FALSE,
67th-reexam,2022-09-30,re-exam,B,18,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,"Oranges: 25% loss at Rs150/dozen, rate for 20% profit",FALSE,
67th-reexam,2022-09-30,re-exam,B,19,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,C,provisional,easy,FALSE,,,specialized reference,Rhombus diagonals 10cm/24cm — perimeter (52 cm),FALSE,
67th-reexam,2022-09-30,re-exam,B,20,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Train 140m at 60km/hr crosses dog at 18km/hr in (12 seconds),FALSE,
67th-reexam,2022-09-30,re-exam,B,21,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,C,provisional,hard,FALSE,,,specialized reference,Clock gains 10 min/24hr — right time when clock shows 11am next day,FALSE,
67th-reexam,2022-09-30,re-exam,B,22,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Clock hands coincide between 5 and 6,FALSE,
67th-reexam,2022-09-30,re-exam,B,23,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,specialized reference,"Anil+Suman work in 12 days, Anil alone 20 days — Suman alone (30 days)",FALSE,
67th-reexam,2022-09-30,re-exam,B,24,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,"Class 55: 34 like Cricket, 26 Badminton, both games — overlap (Venn diagram)",FALSE,
67th-reexam,2022-09-30,re-exam,B,25,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,A,provisional,hard,FALSE,,,specialized reference,"Two natural numbers: product 2400, sum of squares 5200 (60,40)",FALSE,
67th-reexam,2022-09-30,re-exam,B,26,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,A,provisional,easy,FALSE,,,NCERT-level,Plants receive nutrients mainly from (soil),FALSE,
67th-reexam,2022-09-30,re-exam,B,27,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Pine/Fir/Spruce/Cedar/Larch/Cypress belong to (gymnosperm),FALSE,
67th-reexam,2022-09-30,re-exam,B,28,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Correctly matched pair (disease-treatment),FALSE,
67th-reexam,2022-09-30,re-exam,B,29,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Animal without red blood cells (earthworm),FALSE,
67th-reexam,2022-09-30,re-exam,B,30,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Ultimate substance carbohydrates degraded to (glucose),FALSE,
67th-reexam,2022-09-30,re-exam,B,31,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Most enzymes are (proteins),FALSE,
67th-reexam,2022-09-30,re-exam,B,32,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,First scientist/doctor who attempted vaccination (Edward Jenner),FALSE,
67th-reexam,2022-09-30,re-exam,B,33,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Working principle of a washing machine (centrifugation),FALSE,
67th-reexam,2022-09-30,re-exam,B,34,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Speed of light minimum while passing through (glass),FALSE,
67th-reexam,2022-09-30,re-exam,B,35,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Which is NOT a vector quantity (Speed),FALSE,
67th-reexam,2022-09-30,re-exam,B,36,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,"If earth's spinning speed increases, weight at equator will (decrease)",FALSE,
67th-reexam,2022-09-30,re-exam,B,37,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,B,provisional,hard,TRUE,could be Science & Tech/Physics,,specialized reference,First person to define speed (Galileo),FALSE,
67th-reexam,2022-09-30,re-exam,B,38,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Equal volumes of gases contain equal molecules — law (Avogadro's law),FALSE,
67th-reexam,2022-09-30,re-exam,B,39,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,B,provisional,easy,FALSE,,,NCERT-level,'Theory of relativity' presented by (Albert Einstein),FALSE,
67th-reexam,2022-09-30,re-exam,B,40,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,B,provisional,hard,FALSE,,,NCERT-level,Potential variation due to temperature variation along conductor (Seebeck effect),FALSE,
67th-reexam,2022-09-30,re-exam,B,41,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,D,provisional,easy,FALSE,,,NCERT-level,Lens used in magnifying glass (Convex lens),FALSE,
67th-reexam,2022-09-30,re-exam,B,42,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Paramagnetic theory of magnetism applies to (platinum),FALSE,
67th-reexam,2022-09-30,re-exam,B,43,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,D,provisional,easy,FALSE,,,NCERT-level,Nucleus of an atom consists of (protons and neutrons),FALSE,
67th-reexam,2022-09-30,re-exam,B,44,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Metallurgical process where metal obtained in fused state (smelting),FALSE,
67th-reexam,2022-09-30,re-exam,B,45,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,provisional,easy,FALSE,,,NCERT-level,Constituents of brass (Zinc and copper),FALSE,
67th-reexam,2022-09-30,re-exam,B,46,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Known as quicklime (CaO),FALSE,
67th-reexam,2022-09-30,re-exam,B,47,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,What happens to weight of iron when it rusts (Increases for long time),FALSE,
67th-reexam,2022-09-30,re-exam,B,48,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Known as white metal (Platinum),FALSE,
67th-reexam,2022-09-30,re-exam,B,49,Science & Technology,Chemistry,statement_based,5,2,,1 only,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Noble metals statements — which correct,FALSE,
67th-reexam,2022-09-30,re-exam,B,50,Science & Technology,Chemistry,statement_based,5,2,,1 only,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Salt/methyl alcohol boiling point statements — which correct,FALSE,
67th-reexam,2022-09-30,re-exam,B,51,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,provisional,easy,FALSE,,,NCERT-level,Main constituent of biogas (Methane),FALSE,
67th-reexam,2022-09-30,re-exam,B,52,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Cause of bright red colour in crackers (Strontium),FALSE,
67th-reexam,2022-09-30,re-exam,B,53,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Salt-loving plants called (Halophytes),FALSE,
67th-reexam,2022-09-30,re-exam,B,54,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Fungi are plants that lack (chlorophyll),FALSE,
67th-reexam,2022-09-30,re-exam,B,55,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Pollination best defined as (transfer of pollen grain anther to stigma),FALSE,
67th-reexam,2022-09-30,re-exam,B,56,Bihar-Specific,Polity & Governance,match_the_following,5,,4,,FALSE,FALSE,D,provisional,hard,FALSE,,,current_affairs,"Match Bihar posts with officeholders (Governor, CJ, CM, CEO)",FALSE,
67th-reexam,2022-09-30,re-exam,B,57,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,current_affairs,'Operation Prahar' in Bihar related to (liquor ban),FALSE,
67th-reexam,2022-09-30,re-exam,B,58,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,current_affairs,Hrithik Anand from Bihar won which medal at 24th Deaf Badminton Olympics (Gold),FALSE,
67th-reexam,2022-09-30,re-exam,B,59,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,current_affairs,North India's first bird ringing station opened in Bihar at (Bhagalpur),FALSE,
67th-reexam,2022-09-30,re-exam,B,60,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Which started the Vulture's Conservation Plan in Bihar (Kanwar Lake Bird Sanctuary),FALSE,
67th-reexam,2022-09-30,re-exam,B,61,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,current_affairs,'Sunandini Program' related to (Auxiliary Nurse Midwives),FALSE,
67th-reexam,2022-09-30,re-exam,B,62,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,C,provisional,easy,FALSE,,3,current_affairs,Country whose former PM Shinzo Abe was shot dead July 2022 (Japan),FALSE,
67th-reexam,2022-09-30,re-exam,B,63,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,current_affairs,UN resolution on multilingualism — language mentioned for first time (Hindi),FALSE,
67th-reexam,2022-09-30,re-exam,B,64,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,7,current_affairs,Who presided UNGA emergency session on Russia-Ukraine (Abdulla Shahid),FALSE,
67th-reexam,2022-09-30,re-exam,B,65,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,7,current_affairs,Mission to evacuate Indians from Ukraine Feb 2022 (Operation Ganga),FALSE,
67th-reexam,2022-09-30,re-exam,B,66,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,current_affairs,'Sakteng Wildlife Sanctuary' China claims territory in (Bhutan),FALSE,
67th-reexam,2022-09-30,re-exam,B,67,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,D,provisional,easy,FALSE,,,current_affairs,Indian State/UT chosen to host G20 Summit 2023 (Delhi),FALSE,
67th-reexam,2022-09-30,re-exam,B,68,Current Affairs,International,statement_based,5,3,,1 and 2 only,FALSE,FALSE,C,provisional,medium,FALSE,,,current_affairs,UN peacekeeping operations statements — which correct,FALSE,
67th-reexam,2022-09-30,re-exam,B,69,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,TRUE,could be Economy/trade,,current_affairs,Country signed FTA with UAE recently (Israel),FALSE,
67th-reexam,2022-09-30,re-exam,B,70,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,current_affairs,Country launched 'Arktika-M' satellite to monitor Arctic climate (Russia),FALSE,
67th-reexam,2022-09-30,re-exam,B,71,Current Affairs,Sports,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,current_affairs,First player to cross 3000 runs in T20 International (Virat Kohli),FALSE,
67th-reexam,2022-09-30,re-exam,B,72,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,3,current_affairs,Campaign for complete COVID-19 vaccination June 2022 (Har Ghar Dastak 2.0),FALSE,
67th-reexam,2022-09-30,re-exam,B,73,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,C,provisional,easy,FALSE,,3,current_affairs,New CM of Maharashtra after 30 June 2022 (Eknath Shinde),FALSE,
67th-reexam,2022-09-30,re-exam,B,74,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,A,provisional,easy,FALSE,,2,current_affairs,Who started Har Ghar Tiranga Abhiyan on India's 75th Independence Day (Central Government),FALSE,
67th-reexam,2022-09-30,re-exam,B,75,Current Affairs,Schemes & Indices,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,TRUE,could be Polity,,current_affairs,First State to implement Centre's New Education Policy (Uttarakhand),FALSE,
67th-reexam,2022-09-30,re-exam,B,76,Current Affairs,National,statement_based,5,4,,"1, 3 and 4 only",FALSE,FALSE,B,provisional,hard,FALSE,,,current_affairs,Governor-State pairs — which correctly matched,FALSE,
67th-reexam,2022-09-30,re-exam,B,77,Current Affairs,Schemes & Indices,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,current_affairs,Org released 'Youth in India Report 2022' (MoSPI),FALSE,
67th-reexam,2022-09-30,re-exam,B,78,Current Affairs,Sports,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,current_affairs,"Elavenil Valarivan, Shreya Agarwal, Ramita associated with (Shooting)",FALSE,
67th-reexam,2022-09-30,re-exam,B,79,Current Affairs,Awards & Appointments,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,current_affairs,Recently assigned charge of Ministry of Minority Affairs (Smriti Irani),FALSE,
67th-reexam,2022-09-30,re-exam,B,80,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,B,provisional,easy,FALSE,,2,current_affairs,UPA candidate in 15th Presidential Election (Yashwant Sinha),FALSE,
67th-reexam,2022-09-30,re-exam,B,81,Current Affairs,Awards & Appointments,simple_mcq,5,,,,FALSE,FALSE,B,provisional,easy,FALSE,,4,current_affairs,International Booker Prize for 'Tomb of Sand' (Geetanjali Shree),FALSE,
67th-reexam,2022-09-30,re-exam,B,82,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,current_affairs,Dadasaheb Phalke Indian Television Award 2022 winner from Bihar (Shatrughan Sinha),FALSE,
67th-reexam,2022-09-30,re-exam,B,83,Bihar-Specific,Economy,simple_mcq,5,,,,FALSE,FALSE,D,provisional,hard,FALSE,,,specialized reference,Bihar urbanization level per Economic Survey 2021-22 (11.6%),FALSE,
67th-reexam,2022-09-30,re-exam,B,84,Bihar-Specific,Economy,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Brand Ambassador of Khadi in Bihar (Manoj Tiwari),FALSE,
67th-reexam,2022-09-30,re-exam,B,85,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,current_affairs,District where world's tallest (251m) Mother Sita statue will be built (Sitamarhi),FALSE,
67th-reexam,2022-09-30,re-exam,B,86,Bihar-Specific,Polity & Governance,simple_mcq,5,,,,FALSE,FALSE,B,provisional,hard,FALSE,,,specialized reference,First Indian Governor of Bihar (Dr. Shri Krishna Singh),FALSE,
67th-reexam,2022-09-30,re-exam,B,87,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Leaders of the Santhal Revolt (Sidhu and Kanhu),FALSE,
67th-reexam,2022-09-30,re-exam,B,88,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,D,provisional,hard,FALSE,,,specialized reference,Year of the Chauri Revolt of Bihar (1842),FALSE,
67th-reexam,2022-09-30,re-exam,B,89,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Year Orissa separated from Bihar (1936),FALSE,
67th-reexam,2022-09-30,re-exam,B,90,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,TRUE,Rajagriha — Bihar-linked,,NCERT-level,Where was first Buddhist Council convened (Rajagriha),FALSE,
67th-reexam,2022-09-30,re-exam,B,91,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Which Gupta ruler assumed throne after killing elder brother (Chandragupta II),FALSE,
67th-reexam,2022-09-30,re-exam,B,92,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Who laid foundation of Vardhana dynasty (Pushyabhuti),FALSE,
67th-reexam,2022-09-30,re-exam,B,93,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Who established trade relations with Roman empire (Kushanas),FALSE,
67th-reexam,2022-09-30,re-exam,B,94,History,Medieval,simple_mcq,5,,,,FALSE,FALSE,D,provisional,hard,FALSE,,,specialized reference,Muslim ruler whose empire regarded part of Dar-ul-Islam (Iltutmish),FALSE,
67th-reexam,2022-09-30,re-exam,B,95,History,Medieval,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Who opposed the power of the Khalifa (Balban),FALSE,
67th-reexam,2022-09-30,re-exam,B,96,History,Medieval,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Tughril Khan raised standard of revolt during whose reign (Balban),FALSE,
67th-reexam,2022-09-30,re-exam,B,97,History,Modern,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,First Mughal ruler who fought against the British (Aurangzeb),FALSE,
67th-reexam,2022-09-30,re-exam,B,98,History,Modern,statement_based,5,4,,"1, 3 and 4 only",FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Social reforms introduced by William Bentinck,FALSE,
67th-reexam,2022-09-30,re-exam,B,99,History,Modern,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Sind was conquered and annexed by (Napier),FALSE,
67th-reexam,2022-09-30,re-exam,B,100,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Year first Census introduced in India (1872),FALSE,
67th-reexam,2022-09-30,re-exam,B,101,History,Modern,simple_mcq,5,,,,FALSE,FALSE,C,provisional,easy,FALSE,,,NCERT-level,"Date Sukhdev, Bhagat Singh, Rajguru were hanged (23 March 1931)",FALSE,
67th-reexam,2022-09-30,re-exam,B,102,History,Modern,simple_mcq,5,,,,FALSE,FALSE,A,provisional,hard,FALSE,,,specialized reference,Third Satyagrahi of Individual Satyagraha 1940 (Jawaharlal Nehru),FALSE,
67th-reexam,2022-09-30,re-exam,B,103,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Who launched secret radio during Quit India Movement (Usha Mehta),FALSE,
67th-reexam,2022-09-30,re-exam,B,104,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,D,provisional,hard,FALSE,,,specialized reference,Physician of Magadh ruler Bimbisara (Jeevaka),FALSE,
67th-reexam,2022-09-30,re-exam,B,105,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,C,provisional,hard,FALSE,,,specialized reference,Real founder of Turk rule in Bihar (Ibn Bakhtiyar Khilji),FALSE,
67th-reexam,2022-09-30,re-exam,B,106,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,D,provisional,easy,FALSE,,,specialized reference,River known as Sorrow of Bihar (Kosi),FALSE,
67th-reexam,2022-09-30,re-exam,B,107,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,District where Telhar Kund Waterfall is located (Kaimur),FALSE,
67th-reexam,2022-09-30,re-exam,B,108,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Asia's largest freshwater oxbow lake in Bihar (Kanwar Lake),FALSE,
67th-reexam,2022-09-30,re-exam,B,109,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Bihar district with largest gold reserve (Jamui),FALSE,
67th-reexam,2022-09-30,re-exam,B,110,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Bihar district known as 'silk city' (Bhagalpur),FALSE,
67th-reexam,2022-09-30,re-exam,B,111,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,A,provisional,hard,FALSE,,,specialized reference,Female literacy rate of Bihar per Census 2011 (51.50%),FALSE,
67th-reexam,2022-09-30,re-exam,B,112,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,A,provisional,easy,FALSE,,,NCERT-level,Chief heavenly body of solar system (Sun),FALSE,
67th-reexam,2022-09-30,re-exam,B,113,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Elements abundant in interior layer of earth (Silica and magnesium),FALSE,
67th-reexam,2022-09-30,re-exam,B,114,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,C,provisional,hard,FALSE,,,specialized reference,Who postulated concept of geographical cycle of erosion (W.M. Davis),FALSE,
67th-reexam,2022-09-30,re-exam,B,115,Geography,World,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Hemisphere where roaring forties/furious fifties/shrieking sixties blow (Southern),FALSE,
67th-reexam,2022-09-30,re-exam,B,116,Geography,World,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Sargasso Sea is part of (North Atlantic Ocean),FALSE,
67th-reexam,2022-09-30,re-exam,B,117,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,B,provisional,easy,FALSE,,,NCERT-level,Boundary line between India and China (McMahon Line),FALSE,
67th-reexam,2022-09-30,re-exam,B,118,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Rajasthan receives very little rain because (winds don't come across barriers),FALSE,
67th-reexam,2022-09-30,re-exam,B,119,Environment & Ecology,Conservation & Policy,statement_based,5,3,,1 and 3 only,FALSE,FALSE,A,provisional,medium,FALSE,,,current_affairs,Project Tiger / Biodiversity Day statements — which correct,FALSE,
67th-reexam,2022-09-30,re-exam,B,120,Geography,Economic,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Karewas famous for which cultivation (Saffron),FALSE,
67th-reexam,2022-09-30,re-exam,B,121,Geography,Economic,simple_mcq,5,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Leading Indian producer of thorium (Kerala),FALSE,
67th-reexam,2022-09-30,re-exam,B,122,Geography,Economic,simple_mcq,5,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Newsprint paper industry located at (Nepanagar),FALSE,
67th-reexam,2022-09-30,re-exam,B,123,Geography,Economic,simple_mcq,5,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Where was first coal mine in India mined (Raniganj),FALSE,
