year,exam_date,paper_variant,booklet_series,question_number,subject,sub_topic,question_type,option_count,statement_count,list_item_count,option_combination_pattern,is_all_or_none_correct,all_none_literal_phrasing,correct_option,key_status,difficulty_guess,ambiguous_subject,ambiguous_note,ca_recency_months,source_type_guess,question_text_en
69th,2023-09-30,main,A,92,Bihar-Specific,Geography,match_the_following,4,,4,,FALSE,FALSE,A,provisional,hard,FALSE,,,specialized reference,"Match Bihar rock systems with descriptions (Dharwar, Vindhyan, Quaternary, Tertiary)"
69th,2023-09-30,main,A,93,Environment & Ecology,Biodiversity,simple_mcq,4,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,specialized reference,World's richest marine biodiversity region — 21 islands (Gulf of Mannar)
69th,2023-09-30,main,A,94,Geography,Physical,simple_mcq,4,,,,FALSE,FALSE,A,provisional,medium,TRUE,longitude time calculation — Reasoning element,,NCERT-level,Local time of Thimphu (90E) when Greenwich is noon
69th,2023-09-30,main,A,95,Geography,Economic,simple_mcq,4,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Which statement is correct (minerals: Mica in Kodarma)
69th,2023-09-30,main,A,96,Geography,Physical,simple_mcq,4,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,How many latitudes at 1-degree interval on globe (179)
69th,2023-09-30,main,A,97,Bihar-Specific,Geography,simple_mcq,4,,,,FALSE,FALSE,C,provisional,hard,FALSE,,,specialized reference,Average height of Kosi plain from MSL (30 m)
69th,2023-09-30,main,A,98,Geography,Physical,simple_mcq,4,,,,FALSE,FALSE,B,provisional,hard,FALSE,,,specialized reference,On which plateau do Tropic of Cancer & IST line intersect (Baghelkhand)
69th,2023-09-30,main,A,99,Geography,Physical,simple_mcq,4,,,,FALSE,FALSE,C,provisional,hard,FALSE,,,specialized reference,Which Uttarakhand district NOT along Tibet boundary (Almora)
69th,2023-09-30,main,A,100,Geography,Physical,simple_mcq,4,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Where does the El Nino current flow (Pacific Ocean)
69th,2023-09-30,main,A,101,Polity,Constitutional provisions,statement_based,4,4,,1 and 3,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Collegium system statements — which correct
69th,2023-09-30,main,A,102,Polity,Constitutional provisions,statement_based,4,4,,2 and 3,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,42nd Amendment statements — which INCORRECT
69th,2023-09-30,main,A,103,Polity,Constitutional provisions,statement_based,4,4,,All of the above,TRUE,TRUE,D,provisional,medium,FALSE,,,NCERT-level,Specifications to declare a Scheduled Tribe — which correct
69th,2023-09-30,main,A,104,Polity,Constitutional provisions,simple_mcq,4,,,,FALSE,FALSE,B,provisional,easy,FALSE,,,NCERT-level,Fundamental Rights idea taken from which country (USA)
69th,2023-09-30,main,A,105,Polity,Constitutional provisions,simple_mcq,4,,,,FALSE,FALSE,C,provisional,easy,FALSE,,,NCERT-level,Untouchability abolished by which Article (17)
69th,2023-09-30,main,A,106,Polity,Constitutional provisions,simple_mcq,4,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Authority to determine number of High Court Judges (Parliament)
69th,2023-09-30,main,A,107,Polity,Constitutional provisions,simple_mcq,4,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Fifth Schedule deals with governance of (Scheduled Tribes)
69th,2023-09-30,main,A,108,Polity,Constitutional provisions,simple_mcq,4,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,NCERT-level,Which case first gave 'basic structure' doctrine (Kesavananda Bharati)
69th,2023-09-30,main,A,109,Polity,Constitutional provisions,match_the_following,4,,4,,FALSE,FALSE,A,provisional,medium,TRUE,political-party GK,,specialized reference,"Match political parties with year of establishment (CPI-M, CPI, BSP, AITC)"
69th,2023-09-30,main,A,110,Polity,Constitutional provisions,simple_mcq,4,,,,FALSE,FALSE,C,provisional,hard,FALSE,,,specialized reference,Article allowing Speaker to permit a member to speak in mother tongue
69th,2023-09-30,main,A,111,Economy,Banking & finance,statement_based,4,4,,"1, 2 and 3",FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,"RBI Forex Reserves include — which (FCA, Gold, SDR, RTP)"
69th,2023-09-30,main,A,112,Economy,Banking & finance,statement_based,4,4,,All of the above,TRUE,TRUE,D,provisional,medium,FALSE,,,specialized reference,'Rules of Origin' statements — which correct
69th,2023-09-30,main,A,113,Economy,Macroeconomic concepts,statement_based,4,4,,Only 2 and 3,FALSE,FALSE,C,provisional,hard,TRUE,demography — could be Current Affairs/health,,specialized reference,Infant Mortality Rate statements — which correct
69th,2023-09-30,main,A,114,Economy,Macroeconomic concepts,statement_based,4,4,,Only 4,FALSE,FALSE,D,provisional,medium,FALSE,,,NCERT-level,Human capital formation — what it enables
69th,2023-09-30,main,A,115,Economy,Banking & finance,statement_based,4,4,,Only 4,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Insolvency and bankruptcy statements — which correct
69th,2023-09-30,main,A,116,Economy,Five-year plans & policy,simple_mcq,4,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,In which year was the Industrial Policy Resolution adopted (1956)
69th,2023-09-30,main,A,117,Current Affairs,Schemes & Indices,statement_based,4,4,,2 and 3,FALSE,FALSE,D,provisional,hard,TRUE,scheme — could be Economy,,current_affairs,PLI scheme statements — which INCORRECT
69th,2023-09-30,main,A,118,Current Affairs,Schemes & Indices,statement_based,4,4,,1 and 3,FALSE,FALSE,B,provisional,hard,TRUE,scheme — could be Polity/Panchayati Raj,,current_affairs,SVAMITVA scheme statements — which INCORRECT
69th,2023-09-30,main,A,119,Polity,Constitutional provisions,statement_based,4,4,,"Only 1, 3 and 4",FALSE,FALSE,A,provisional,hard,FALSE,,,specialized reference,Consequences of invoking Article 360 (financial emergency)
69th,2023-09-30,main,A,120,Economy,Macroeconomic concepts,statement_based,4,4,,"1, 2, 3 and 4",TRUE,FALSE,D,provisional,hard,FALSE,,,specialized reference,Factors contributing to stagflation in Indian economy
69th,2023-09-30,main,A,121,Economy,Macroeconomic concepts,statement_based,4,4,,Only 4,FALSE,FALSE,D,provisional,hard,FALSE,,,current_affairs,Economic Survey 2023 — FDI trend statements
69th,2023-09-30,main,A,122,Bihar-Specific,Geography,simple_mcq,4,,,,FALSE,FALSE,Deleted,provisional,medium,TRUE,demography,,specialized reference,Current population of Gaya district of Bihar
69th,2023-09-30,main,A,123,Economy,Macroeconomic concepts,simple_mcq,4,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Non-plan expenditure of Central Govt — which correct (interest payments)
69th,2023-09-30,main,A,124,Economy,Macroeconomic concepts,simple_mcq,4,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Which is NOT true about globalization & its impact on India
69th,2023-09-30,main,A,125,Economy,Macroeconomic concepts,statement_based,4,3,,Only 1,FALSE,FALSE,A,provisional,hard,FALSE,,,current_affairs,Union Govt finances statements (fiscal deficit FY21/FY22)
69th,2023-09-30,main,A,126,History,Modern,statement_based,4,3,,All of the above,TRUE,TRUE,C,provisional,medium,FALSE,,,NCERT-level,Reasons for failure of the Revolt of 1857
69th,2023-09-30,main,A,127,Bihar-Specific,History & Culture,simple_mcq,4,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Cook from Bihar who saved Gandhi's life in 1917 (Batak Mian)
69th,2023-09-30,main,A,128,Bihar-Specific,History & Culture,simple_mcq,4,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,specialized reference,Bakasht Movement in Bihar 1937-38 organized by (Sahajanand Saraswati)
69th,2023-09-30,main,A,129,History,Modern,statement_based,4,4,,2-4-1-3,FALSE,FALSE,B,provisional,hard,FALSE,,,NCERT-level,"Chronological order: Home Rule, Surat Split, Kheda Satyagraha, Minto-Morley"
69th,2023-09-30,main,A,130,History,Modern,simple_mcq,4,,,,FALSE,FALSE,D,provisional,medium,FALSE,,,specialized reference,Lord Lytton NOT associated with which (Ilbert Bill)
69th,2023-09-30,main,A,131,History,Modern,simple_mcq,4,,,,FALSE,FALSE,A,provisional,medium,FALSE,,,NCERT-level,Treaty signed after the Battle of Buxar (Allahabad)
69th,2023-09-30,main,A,132,Bihar-Specific,History & Culture,simple_mcq,4,,,,FALSE,FALSE,B,provisional,hard,FALSE,,,specialized reference,Dutch East India Company factory at Patna in which year (1632)
69th,2023-09-30,main,A,133,History,Modern,simple_mcq,4,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Gandhi's first use of hunger strike as a weapon (Ahmedabad Strike)
69th,2023-09-30,main,A,134,Bihar-Specific,History & Culture,simple_mcq,4,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,Bihar leader known as 'Bihar Kesari' in Quit India (Shri Krishna Singh)
69th,2023-09-30,main,A,135,History,Modern,simple_mcq,4,,,,FALSE,FALSE,C,provisional,medium,TRUE,Champaran — Bihar-linked,,NCERT-level,British response to Champaran Movement (Agrarian Committee)
69th,2023-09-30,main,A,136,History,Modern,match_the_following,4,,3,,FALSE,FALSE,A,provisional,medium,FALSE,,,specialized reference,"Match reform societies with founders (Servants of India, Tattwabodhini, Atmiya Sabha)"
69th,2023-09-30,main,A,137,History,Modern,simple_mcq,4,,,,FALSE,FALSE,C,provisional,hard,FALSE,,,specialized reference,"Ambabai, woman freedom fighter, from which State (Karnataka)"
69th,2023-09-30,main,A,138,History,Modern,simple_mcq,4,,,,FALSE,FALSE,C,provisional,medium,FALSE,,,NCERT-level,Who was NOT a member of the Cabinet Mission (J. Andrew)
69th,2023-09-30,main,A,139,History,Modern,simple_mcq,4,,,,FALSE,FALSE,B,provisional,medium,FALSE,,,specialized reference,'INC founded on safety-valve theory' — which leader said (Lala Lajpat Rai)
