year,exam_date,paper_variant,booklet_series,question_number,subject,sub_topic,question_type,option_count,statement_count,list_item_count,option_combination_pattern,is_all_or_none_correct,all_none_literal_phrasing,correct_option,key_status,difficulty_guess,ambiguous_subject,ambiguous_note,ca_recency_months,source_type_guess,question_text_en
68th,2023-02-12,main,A,11,Economy,Five-year plans & policy,statement_based,5,3,,"1, 2 and 3",TRUE,FALSE,A,final,medium,FALSE,,,current_affairs,Objectives of the SEZ Act 2005
68th,2023-02-12,main,A,12,Economy,Macroeconomic concepts,simple_mcq,5,,,,TRUE,TRUE,D,final,medium,FALSE,,,NCERT-level,Policy measure to improve agricultural marketing (More than one of the above)
68th,2023-02-12,main,A,13,Economy,Banking & finance,simple_mcq,5,,,,FALSE,FALSE,B,final,hard,FALSE,,,specialized reference,Committee that suggested Competition Act 2002 (S.V.S. Raghavan Committee)
68th,2023-02-12,main,A,14,Economy,Five-year plans & policy,match_the_following,5,,4,,FALSE,FALSE,A,final,hard,FALSE,,,specialized reference,"Match Revolution with produce (Grey, Pink, Silver, Red)"
68th,2023-02-12,main,A,15,Economy,Five-year plans & policy,simple_mcq,5,,,,FALSE,FALSE,E,final,medium,FALSE,,,NCERT-level,Five-Year Plan focused on Human Resource Development (Fifth)
68th,2023-02-12,main,A,16,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,TRUE,could be Economy,5,current_affairs,State with highest FDI equity flow Apr-Sep 2022 (Gujarat)
68th,2023-02-12,main,A,17,Economy,Banking & finance,simple_mcq,5,,,,FALSE,FALSE,B,final,hard,FALSE,,,NCERT-level,Budget that announced Liberalized Exchange Rate Management System (1992-93)
68th,2023-02-12,main,A,18,Economy,Five-year plans & policy,statement_based,5,4,,"1, 2 and 4 only",FALSE,FALSE,E,final,medium,FALSE,,,NCERT-level,Goals of the Five-Year Plans
68th,2023-02-12,main,A,19,Economy,Macroeconomic concepts,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,NCERT-level,Org that surveys for determining poverty line (NSSO)
68th,2023-02-12,main,A,20,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,C,final,hard,TRUE,could be Economy,2,current_affairs,India's trade balance Dec 2022 provisional (- 11.98 USD bn)
68th,2023-02-12,main,A,21,Bihar-Specific,Economy,simple_mcq,5,,,,FALSE,FALSE,A,final,hard,FALSE,,,specialized reference,"Bihar's lowest Female Workforce Participation Rate 2020-22 (7% rural, 9.1% urban)"
68th,2023-02-12,main,A,22,Bihar-Specific,Economy,simple_mcq,5,,,,FALSE,FALSE,Deleted,final,medium,FALSE,,,specialized reference,Bihar district with maximum tax industries (Darbhanga)
68th,2023-02-12,main,A,23,Bihar-Specific,Economy,simple_mcq,5,,,,FALSE,FALSE,A,final,hard,FALSE,,,specialized reference,NFHS-5: Bihar sex ratio improvement 2015-16 to 2020-22 (1040 to 1070)
68th,2023-02-12,main,A,24,Bihar-Specific,Economy,simple_mcq,5,,,,FALSE,FALSE,C,final,hard,FALSE,,,specialized reference,Bihar Economic Survey 2021-22 — GSDP growth rate 2020-21 (2%)
68th,2023-02-12,main,A,25,Bihar-Specific,Economy,simple_mcq,5,,,,TRUE,TRUE,D,final,medium,FALSE,,,specialized reference,Which is correct for Bihar economy (More than one of the above)
68th,2023-02-12,main,A,26,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,Swadeshi and Boycott adopted first during (Partition of Bengal)
68th,2023-02-12,main,A,27,History,Modern,simple_mcq,5,,,,TRUE,TRUE,B,final,medium,FALSE,,,specialized reference,Flag of Swaraj unfurled at 1906 Calcutta Session by (More than one of the above)
68th,2023-02-12,main,A,28,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,Parallel movement in Indian States during freedom struggle (State People's Movement)
68th,2023-02-12,main,A,29,History,Modern,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Which statement about freedom struggle NOT correct (Gandhi's first speech at BHU)
68th,2023-02-12,main,A,30,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,specialized reference,Journal brought out by Abul Kalam Azad (Al-Hilal)
68th,2023-02-12,main,A,31,History,Modern,simple_mcq,5,,,,TRUE,TRUE,D,final,medium,FALSE,,,NCERT-level,How study of history created nationalism feeling (More than one of the above)
68th,2023-02-12,main,A,32,History,Modern,statement_based,5,3,,2 and 3 only,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Non-Cooperation Movement in towns — which NOT correct
68th,2023-02-12,main,A,33,History,Modern,simple_mcq,5,,,,FALSE,FALSE,C,final,hard,TRUE,could be Bihar-Specific,,specialized reference,Peasant leader — sanyasi with Tulsidas Ramayana (Yadunandan Sharma)
68th,2023-02-12,main,A,34,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,Founder of All India Harijan Sangh 1932 (Mahatma Gandhi)
68th,2023-02-12,main,A,35,History,Modern,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Attlee's Feb 20 1947 announcement — British withdrawal latest by (June 1948)
68th,2023-02-12,main,A,36,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,A,final,hard,FALSE,,,specialized reference,Who established Swaraj Dal in Bihar (Ramlal Shah)
68th,2023-02-12,main,A,37,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,E,final,medium,FALSE,,,specialized reference,Salt Satyagraha in Bihar — tax opposed alongside salt (Development)
68th,2023-02-12,main,A,38,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,specialized reference,Shri Krishna Singh govt resigned Feb 1938 for (Satyagraha against British at Gandhi's call)
68th,2023-02-12,main,A,39,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,specialized reference,Who saved Gandhiji's life in Bihar during Champaran Satyagraha (Batak Mian)
68th,2023-02-12,main,A,40,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,specialized reference,Who led cultivators in Bihar during Non-Cooperation Movement (Raj Kumar Shukla)
68th,2023-02-12,main,A,41,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,E,final,medium,FALSE,,,specialized reference,Area south of Ganga in ancient times known as (Anarta)
68th,2023-02-12,main,A,42,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,E,final,medium,FALSE,,,NCERT-level,When did use of iron begin in Indian subcontinent (Around 6000 years ago)
68th,2023-02-12,main,A,43,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,B,final,hard,FALSE,,,specialized reference,Sudarshan Lake reservoir repaired by (Rudradaman)
68th,2023-02-12,main,A,44,History,Ancient,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,specialized reference,Deogarh temple + Garhwa sculptures are remains of (Gupta art)
68th,2023-02-12,main,A,45,History,Medieval,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,Which battle has opponents NOT correctly stated (Second Panipat - Tipu Sultan/Marathas)
68th,2023-02-12,main,A,46,History,Medieval,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,specialized reference,'Muqaddam/Chaudhari' in Delhi Sultanate used for (village headman)
68th,2023-02-12,main,A,47,History,Medieval,simple_mcq,5,,,,FALSE,FALSE,A,final,hard,FALSE,,,specialized reference,'Tabaqat-i-Akbari' (more reliable than Akbarnama) written by (Nizamuddin Ahmad)
68th,2023-02-12,main,A,48,History,Medieval,simple_mcq,5,,,,FALSE,FALSE,C,final,hard,FALSE,,,specialized reference,Ruler who founded Nagalapuram township after mother's name (Krishnadevaraya)
68th,2023-02-12,main,A,49,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,C,final,hard,FALSE,,,specialized reference,Patna Women's College 1940 founded by which society (Sisters of Apostolic Carmel)
68th,2023-02-12,main,A,50,History,Modern,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,specialized reference,Who headed the two 1947 India-Pakistan Boundary Commissions (Cyril Radcliffe)
68th,2023-02-12,main,A,51,History,Modern,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,specialized reference,Who introduced Mahalwari Settlement in Bengal (Holt Mackenzie)
68th,2023-02-12,main,A,52,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,TRUE,could be plain History/Modern,,specialized reference,"1940 Vinoba Bhave started individual Satyagraha from (Pavnar, Maharashtra)"
68th,2023-02-12,main,A,53,History,Modern,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,specialized reference,Congress Montford Reforms 1918 split — moderates formed (Indian National Liberal Federation)
68th,2023-02-12,main,A,54,History,Modern,statement_based,5,3,,2 only,FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,Cabinet Mission sent to India for
68th,2023-02-12,main,A,55,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,A,final,hard,FALSE,,,specialized reference,Who offered Humayun to surrender Bihar for annual tribute (Sher Khan)
68th,2023-02-12,main,A,56,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,specialized reference,Vikramshila University established by (Dharmapala)
68th,2023-02-12,main,A,57,Bihar-Specific,Polity & Governance,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,specialized reference,First Governor of Bihar (Sir James David Sifton)
68th,2023-02-12,main,A,58,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,C,final,hard,FALSE,,,specialized reference,"Author of 'Mahatma Gandhi and Bihar, Some Reminiscences' (Dr. Rajendra Prasad)"
68th,2023-02-12,main,A,59,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,specialized reference,Oldest church in Bihar (Padri Ki Haveli)
68th,2023-02-12,main,A,60,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,specialized reference,Kumudlal Ganguly (Ashok Kumar) born in which Bihar city (Bhagalpur)
68th,2023-02-12,main,A,61,Current Affairs,Schemes & Indices,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,3,current_affairs,Union Ministry that launched YUVA 2.0 Scheme 2022 (Education)
68th,2023-02-12,main,A,62,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,3,current_affairs,MHA Mother Tongue Survey Nov 2022 — number of languages (576)
68th,2023-02-12,main,A,63,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,TRUE,could be Economy,1,current_affairs,Committee that submitted report on gas pricing (Kirit Parikh Committee)
68th,2023-02-12,main,A,64,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,E,final,medium,FALSE,,2,current_affairs,"City NOT conferred 5-star garbage-free rank, Swachh Survekshan 2022 (Bhopal)"
68th,2023-02-12,main,A,65,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,1,current_affairs,PM inaugurated first greenfield 'Donyi Polo Airport' at (Itanagar)
68th,2023-02-12,main,A,66,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,3,current_affairs,Animal approved as food animal by FSSAI Nov 2022 (Himalayan yak)
68th,2023-02-12,main,A,67,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,current_affairs,India's first floating financial literacy camp by IPPB in (Andaman Islands)
68th,2023-02-12,main,A,68,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,current_affairs,President inaugurated 'PARAM KAMRUPA' Supercomputer at which IIT (Guwahati)
68th,2023-02-12,main,A,69,Current Affairs,National,simple_mcq,5,,,,FALSE,FALSE,C,final,easy,FALSE,,4,current_affairs,"90th IAF Day air display 8 Oct 2022 held over (Dal Lake, J&K)"
68th,2023-02-12,main,A,70,Current Affairs,Schemes & Indices,simple_mcq,5,,,,FALSE,FALSE,B,final,easy,FALSE,,,current_affairs,Month celebrated as Rashtriya Poshan Maah (September)
68th,2023-02-12,main,A,71,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,4,current_affairs,Final module of China's Tiangong Space Station recently launched (Mengtian)
68th,2023-02-12,main,A,72,Environment & Ecology,Climate & Pollution,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,3,current_affairs,World's largest volcano erupted first time in 38 years (Mauna Loa)
68th,2023-02-12,main,A,73,Current Affairs,Awards & Appointments,simple_mcq,5,,,,FALSE,FALSE,C,final,easy,FALSE,,4,current_affairs,2022 Booker Prize winner for 'The Seven Moons of Maali Almeida' (Shehan Karunatilaka)
68th,2023-02-12,main,A,74,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,4,current_affairs,Theme of World Space Week 2022 (Space and Sustainability)
68th,2023-02-12,main,A,75,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,2,current_affairs,Lab that claimed nuclear fusion breakthrough Dec 2022 (Lawrence Livermore)
68th,2023-02-12,main,A,76,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,3,current_affairs,Collins Dictionary word of the year 2022 (Permacrisis)
68th,2023-02-12,main,A,77,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,3,current_affairs,Country with Senegal launched Intl Drought Resilience Alliance COP27 (Germany)
68th,2023-02-12,main,A,78,Current Affairs,International,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,current_affairs,Embassy that first applied for GI Tag for 'Nihonshu' in India (Japan)
68th,2023-02-12,main,A,79,Science & Technology,Tech & Innovation,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,current_affairs,Space agency that used steam to propel EQUULEUS spacecraft (JAXA)
68th,2023-02-12,main,A,80,Current Affairs,Sports,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,4,current_affairs,Tesla humanoid robot launched Oct 2022 (Optimus)
68th,2023-02-12,main,A,81,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,C,final,hard,FALSE,,,current_affairs,"First floating solar power plant built at which place in Bihar (Kadirabad, Darbhanga)"
68th,2023-02-12,main,A,82,Bihar-Specific,Economy,simple_mcq,5,,,,FALSE,FALSE,A,final,hard,FALSE,,,specialized reference,Economic Survey 2019-20 — Bihar district with lowest per capita income (Sheohar)
68th,2023-02-12,main,A,83,Bihar-Specific,Economy,simple_mcq,5,,,,FALSE,FALSE,C,final,hard,FALSE,,,specialized reference,NITI Aayog SDG Report 2020-21 — Bihar's score (52 out of 100)
68th,2023-02-12,main,A,84,Current Affairs,Sports,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,3,current_affairs,Sport included in Khelo India Women's Tournament for first time (Track Cycling)
68th,2023-02-12,main,A,85,Bihar-Specific,Recent Developments,simple_mcq,5,,,,TRUE,TRUE,C,final,medium,FALSE,,,current_affairs,GI Tag awarded August 2022 (More than one of the above)
68th,2023-02-12,main,A,86,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,E,final,medium,FALSE,,,current_affairs,Added to UNESCO World Heritage List 2022 (Archaeological Site of Nalanda Mahavihara)
68th,2023-02-12,main,A,87,Bihar-Specific,Economy,simple_mcq,5,,,,FALSE,FALSE,E,final,hard,FALSE,,,current_affairs,Bihar 2020 rank in Ease of Doing Business BRAP (24th)
68th,2023-02-12,main,A,88,Bihar-Specific,Recent Developments,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,3,current_affairs,Ganga Jal Aapurti Yojana inaugurated by CM Nov 28 2022 at (Rajgir)
68th,2023-02-12,main,A,89,Current Affairs,Sports,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,4,current_affairs,Board declared equal pay for men/women players Oct 2022 (BCCI)
68th,2023-02-12,main,A,90,Bihar-Specific,Economy,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,specialized reference,"Bihar urbanization level 2011 census to present (11.3, 15.3)"
68th,2023-02-12,main,A,91,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,D,final,medium,FALSE,,,NCERT-level,Indus River joined at Attock by which river from Afghanistan (Kabul River)
68th,2023-02-12,main,A,92,Environment & Ecology,Conservation & Policy,simple_mcq,5,,,,FALSE,FALSE,D,final,easy,FALSE,,,NCERT-level,Well-publicised wildlife campaign launched 1973 (Project Tiger)
68th,2023-02-12,main,A,93,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Which statement true about troposphere (avg height 13 km)
68th,2023-02-12,main,A,94,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,E,final,medium,FALSE,,,NCERT-level,Southern continent broken from Pangaea (Gondwanaland)
68th,2023-02-12,main,A,95,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,B,final,easy,FALSE,,,NCERT-level,Arctic and Antarctica situated near (North and South Poles)
68th,2023-02-12,main,A,96,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,"States with common border with Myanmar (Arunachal, Nagaland, Manipur, Mizoram)"
68th,2023-02-12,main,A,97,Environment & Ecology,Biodiversity,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,specialized reference,World's richest marine biodiversity region — 21 islands (Gulf of Mannar)
68th,2023-02-12,main,A,98,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,B,final,hard,TRUE,Bihar-linked,,specialized reference,UP and Bihar's Koppen climatic classification (Aw)
68th,2023-02-12,main,A,99,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,India's territorial limit into sea (12 nautical miles)
68th,2023-02-12,main,A,100,Geography,Economic,simple_mcq,5,,,,FALSE,FALSE,A,final,easy,FALSE,,,NCERT-level,River valley rich in coal reserves (Damodar River Valley)
68th,2023-02-12,main,A,101,Geography,Economic,simple_mcq,5,,,,FALSE,FALSE,D,final,medium,FALSE,,,NCERT-level,Which statement true about sugar industry in India (UP 2nd largest producer)
68th,2023-02-12,main,A,102,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Pre-monsoon showers in Kerala/coastal Karnataka known as (Mango showers)
68th,2023-02-12,main,A,103,Geography,Physical,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Atmosphere mainly heated by (long-wave terrestrial radiation)
68th,2023-02-12,main,A,104,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,specialized reference,State bordering max districts in Bihar (Uttar Pradesh)
68th,2023-02-12,main,A,105,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,E,final,hard,FALSE,,,specialized reference,Last railway station of Bihar towards Mirza Cheuki (Kahalgaon)
68th,2023-02-12,main,A,106,Bihar-Specific,Geography,statement_based,5,3,,1 and 2 only,FALSE,FALSE,C,final,hard,FALSE,,,specialized reference,Mineral production in Bihar — which statements correct
68th,2023-02-12,main,A,107,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,B,final,hard,FALSE,,,specialized reference,Phalgu river formed by confluence of (Lilajan and Mohana rivers)
68th,2023-02-12,main,A,108,Bihar-Specific,History & Culture,simple_mcq,5,,,,FALSE,FALSE,C,final,hard,FALSE,,,specialized reference,First tea gardens established in Bihar at (Thakurganj)
68th,2023-02-12,main,A,109,Bihar-Specific,Geography,simple_mcq,5,,,,FALSE,FALSE,D,final,hard,FALSE,,,specialized reference,Ascending decadal population growth 2001-2011 order (Kishanganj<Madhepura<Siwan)
68th,2023-02-12,main,A,110,Bihar-Specific,Economy,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,specialized reference,Dominant food industry among agro-based industries in Bihar (Cereal-based)
68th,2023-02-12,main,A,111,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Convex lens image of white horse with black paint strips (horse of black stripes)
68th,2023-02-12,main,A,112,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,Shrillness of sound determined by (wavelength/frequency of sound)
68th,2023-02-12,main,A,113,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Photoelectric device most suitable for digital applications (Photodiode)
68th,2023-02-12,main,A,114,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Ball bearings convert static friction into (rolling friction)
68th,2023-02-12,main,A,115,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Goalkeeper pulling hands back enables (decrease rate of change of momentum)
68th,2023-02-12,main,A,116,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,B,final,easy,FALSE,,,NCERT-level,Positively charged particle emitted by radioactive element (Alpha ray)
68th,2023-02-12,main,A,117,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,A,final,easy,FALSE,,,NCERT-level,Centripetal force is responsible to (keep body moving along circular path)
68th,2023-02-12,main,A,118,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Energy change involving frictional force (Kinetic to heat energy)
68th,2023-02-12,main,A,119,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,Bus sharp right turn — passengers will (bent towards right side)
68th,2023-02-12,main,A,120,Science & Technology,Physics,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Sitarist adjusting string tension before orchestra adjusts (frequency matching)
68th,2023-02-12,main,A,121,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,Matter with no fixed shape but fixed volume (kerosene)
68th,2023-02-12,main,A,122,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,NCERT-level,Examples of amphoteric oxides (Al2O3 and ZnO)
68th,2023-02-12,main,A,123,Environment & Ecology,Climate & Pollution,simple_mcq,5,,,,TRUE,TRUE,A,final,easy,FALSE,,,NCERT-level,Gas that contributes to global warming via greenhouse effect (More than one)
68th,2023-02-12,main,A,124,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,A,final,easy,FALSE,,,NCERT-level,Acids react with metal carbonates to liberate ___ gas (CO2)
68th,2023-02-12,main,A,125,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,Acid described as HOOCCOOH (Oxalic acid)
68th,2023-02-12,main,A,126,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,final,easy,FALSE,,,NCERT-level,Turns red litmus to blue (Base)
68th,2023-02-12,main,A,127,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,B,final,easy,FALSE,,,NCERT-level,Odour of acetic acid resembles (vinegar)
68th,2023-02-12,main,A,128,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,C,final,hard,FALSE,,,NCERT-level,Why dry HCl gas doesn't change dry litmus colour (no H3O+ ions present)
68th,2023-02-12,main,A,129,Science & Technology,Chemistry,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,NCERT-level,Detect the odd one (Ripening of fruit)
68th,2023-02-12,main,A,130,Science & Technology,Chemistry,simple_mcq,5,,,,TRUE,TRUE,E,final,medium,FALSE,,,NCERT-level,Which statement about diamond/graphite true (More than one of the above)
68th,2023-02-12,main,A,131,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,Stomata open/close due to change in (amount of water in cells)
68th,2023-02-12,main,A,132,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Chlorophyll absorbs ___ wavelengths of sunlight (red and blue)
68th,2023-02-12,main,A,133,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,NCERT-level,Which is NOT a correct match (plant stem types)
68th,2023-02-12,main,A,134,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,NCERT-level,Water reaches great heights in trees due to suction pull caused by (transpiration)
68th,2023-02-12,main,A,135,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,B,final,hard,FALSE,,,NCERT-level,Chloroplast character enabling self-replication (Presence of both DNA and RNA)
68th,2023-02-12,main,A,136,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,B,final,easy,FALSE,,,NCERT-level,"Skeleton parts not as hard as bones, can bend (cartilage)"
68th,2023-02-12,main,A,137,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,"In lichen, chlorophyll-containing partner ___ live together (alga and a fungus)"
68th,2023-02-12,main,A,138,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,NCERT-level,Female Anopheles distinguished from Culex by sitting (at angle with substratum)
